Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
327.13824820518494	0.823499798775	60000	392.8	419.0	386	0.9568	0.0001
513.3473734855652	0.823499798775	70000	458.3	458.6	446	0.9496	0.0001
702.0884449481964	0.823499798775	80000	453.4	477.4	509	0.9424	0.0001
897.1106989383698	0.823499798775	90000	417.7	477.4	571	0.9352	0.0001
1091.565222978592	1.02657163143	100000	452.4	477.4	634	0.9279999999999999	0.0001
1289.860645532608	1.02657163143	110000	431.6	477.4	697	0.9208000000000001	0.0001
1492.72722530365	1.02657163143	120000	439.9	477.4	759	0.9136	0.0001
1687.5630526542664	1.02657163143	130000	458.6	477.4	823	0.9064	0.0001
1883.9732003211975	1.13125014305	140000	439.6	477.4	885	0.8992	0.0001
2080.016146183014	1.13125014305	150000	465.3	477.4	944	0.892	0.0001
2283.7355608940125	1.13125014305	160000	448.6	477.4	1007	0.8848	0.0001
2480.5123941898346	1.13125014305	170000	423.6	477.4	1071	0.8775999999999999	0.0001
2679.4337034225464	1.2451685667	180000	445.0	477.4	1135	0.8704000000000001	0.0001
2879.2737970352173	1.2451685667	190000	446.4	478.9	1198	0.8632	0.0001
3078.1032214164734	1.2451685667	200000	459.5	478.9	1260	0.856	0.0001
3282.0581324100494	1.2451685667	210000	511.8	511.8	1319	0.8488	0.0001
3484.139987230301	1.38084161282	220000	459.3	527.5	1380	0.8416	0.0001
3678.5585284233093	1.38084161282	230000	394.9	527.5	1445	0.8344	0.0001
3875.9258205890656	1.38084161282	240000	439.9	527.5	1508	0.8271999999999999	0.0001
4072.8539226055145	1.38084161282	250000	443.1	527.5	1569	0.82	0.0001
4268.8315687179565	1.37067043781	260000	498.0	527.5	1627	0.8128	0.0001
4470.068719148636	1.37067043781	270000	573.4	573.4	1686	0.8056	0.0001
4670.803913116455	1.37067043781	280000	566.6	581.6	1744	0.7984	0.0001
4876.914941310883	1.37067043781	290000	484.3	581.6	1805	0.7912	0.0001
5070.621595621109	1.27436995506	300000	470.3	581.6	1865	0.784	0.0001
